"sizes","probs","cells"
15.7,0.29,150
7.2,0.87,3600
49.5,0.54,3750
43.9,0.54,1200
0.7,0.58,2350
48.4,0.61,3950
7,0.33,2100
24.8,0.24,3150
15.2,0.72,3750
34.4,0.39,1600
29.2,0.68,2900
4.2,0.3,2550
25,0.62,3550
18.3,0.96,3050
7.4,0.48,1750
46.6,0.47,4900
23.6,0.03,1350
20.1,0.47,2500
40.5,0.29,4550
37,0.47,1650
17.2,0.53,4000
40.6,0.02,3700
39.7,0.05,100
17.1,0.75,2850
34.9,0.31,600
14,0.1,200
29.4,0.38,4900
19.1,0.22,1150
8.9,0.81,1900
26.4,0.16,3400
29.9,0.98,4700
35.7,0.33,3300
25.5,0.98,1050
30.6,0.73,4950
23.1,0.05,4000
4.2,0.57,1050
25,0.8,4650
23.2,0.36,1350
26.7,0.41,1650
39.9,0.85,4000
40.1,0.2,2600
37,0.63,300
27.2,0.68,4400
33.5,0.28,2350
40.6,0.46,3750
33.5,0.78,4950
20.2,0.26,1950
41.4,0.4,2050
19.5,0.88,1750
39.8,0.63,500
36.9,0.95,4900
23.3,0.29,4400
24.3,0.52,3200
34.5,0.81,950
27.7,0.21,1550
47.9,0.74,3800
11.1,0.77,650
4.6,0.03,4200
0.1,0.39,1000
17.4,0.11,4900
24.8,0.44,2150
44.6,0.08,2550
22.9,0.25,2250
13.2,0.71,200
1.7,0.76,2050
6.5,0.38,300
37.5,0.53,3100
43.2,0.84,2250
39.1,0.82,3050
45.5,0.07,300
5.1,0.66,1300
10.3,0.08,2650
21.7,0.73,450
15.3,0.79,2450
2.1,0.18,4550
44.1,0.21,4750
5.1,0.86,3950
42.9,0.83,250
45.6,0.96,1650
34.7,0.66,750
10,0.41,2550
31.3,0.46,1150
15.3,0.76,3600
6.7,0.16,200
13,0.02,450
10.8,0.32,1250
37.8,0.36,4900
48.6,0.39,1750
18.4,0.44,1300
47,0.95,1800
15.8,0.11,3900
44.1,0.41,3150
27.2,0.58,1050
47.4,0.16,2250
36.3,0.15,3150
7.6,0.23,750
12,0.12,2950
6.3,0.72,600
40.7,0.35,4900
39.1,0.24,3550
23.6,0.51,3900
16.2,0.64,1750
45.9,0.78,2400
21.6,0.37,4500
10.6,0.03,3600
37.5,0.87,3150
24.1,0.78,3900
37.8,0.21,4800
32.8,0.84,4100
4,0.05,1350
35,0.76,3850
38.4,0.15,4550
47.7,0.08,2250
44.9,0.84,3150
20.5,0.72,1700
7.8,0.62,1150
46.1,0.94,250
1.4,0.75,250
37.1,0.37,3900
1.7,0.08,2650
45.6,0.04,2700
40.7,0.2,3200
45.5,0.24,2450
16.2,0.8,1500
36.1,0.05,2650
15.5,0.19,2900
8.6,0.22,4450
34,0.23,2550
1.9,0.08,2000
19.2,0.52,4000
29.6,0.87,3950
21.6,0.11,2950
43.2,0.81,4400
40,0.67,750
47.7,0.24,450
27.8,0.32,1600
26.2,0.92,4200
41.8,0.93,1050
24.2,0.61,550
22.8,0.41,3900
30.8,0.47,4850
7.1,0.39,4100
46.8,0.89,3750
35.8,0.61,4300
22.2,0.36,4950
15.5,0.94,2800
32.6,0.76,1950
18.9,0.83,2850
10,0.45,3250
16.4,0.44,1650
13,0.4,2100
6.1,0.92,4250
28.5,0.24,3300
15.7,0.21,4050
11.9,0.98,2400
6.9,0.42,1750
8.2,0.56,3200
7,0.22,3000
24.1,0.38,3050
39.6,0.92,4950
17.3,0.97,1600
47,0.35,3300
45.3,0.54,3850
26.6,0.98,1050
40.6,0.8,3200
18.7,0.53,2700
5.7,0.27,2750
23.7,0.09,2500
23.1,0.05,1900
41.7,0.13,2750
20.3,0.18,1100
14.3,0.15,350
5.7,0.84,2300
38.2,0.02,1450
40.2,0.24,4150
0.1,0.8,2400
8.6,0.6,100
8,0.01,3000
6.3,0.28,1400
18.2,0.49,1600
22.9,0.18,1750
5.1,0.06,4550
26.7,0.98,1900
16.9,0.58,2050
49.3,0.21,3200
1.4,0.47,1650
30,0.35,2700
9.5,0.43,400
31.2,0.35,150
49.5,0.05,4000
42.6,0.24,4650
17.7,0.74,4150
0.5,0.1,150
7.9,0.04,1200
19.6,0.83,200
0.8,0.97,1350
30.5,0.68,2750
4.3,0.11,150
34.9,0.22,3750
26.6,0.77,4750
19.6,0.19,50
3.9,0.84,3150
14.3,0.39,1200
23.6,0.85,1750
34.7,0.6,700
26.4,0.5,2900
9.7,0.79,5000
25.6,0.74,550
13.1,0.04,2450
5.1,0.23,2700
47,0.07,800
12.4,0.39,300
15,0.08,5000
33.5,0.07,500
44,0.75,650
33.7,0.2,3550
9.8,0.27,150
25.3,0.1,4750
12,0.85,4900
21.2,0.13,4650
38,0.18,3250
22.7,0.89,1700
37.9,0.68,700
20.9,0.11,4650
14.6,0.58,4000
16.3,0.09,4450
49.4,0.95,150
25.9,0.2,1200
49.6,0.52,1500
4.4,0.23,3000
45.2,0.94,3650
46.9,0.08,2750
28.4,0.07,3350
19.7,0.56,1700
24.8,0.1,300
20.6,0.53,2600
18.3,0.72,150
19.5,0.87,3250
1.2,0.31,200
30.4,0.41,1350
37,0.12,3900
7,0.27,2150
45,0.45,500
2.5,0.87,2900
24,0.33,3900
38,0.27,4500
30.5,0.42,3450
37.9,0.5,2350
45.2,0.14,3300
9.4,0.02,850
4.7,0.04,3900
7.4,0.75,3150
44.6,0.88,3700
9.8,0.33,4800
46.5,0.7,4700
25.5,0.69,400
18.4,0.23,850
10.4,0.6,2150
46.6,0.68,4350
9.2,0.07,550
37.6,0.95,50
49.1,0.47,3050
7.3,0.59,3050
48.1,0.96,3650
18.9,0.64,1400
31.6,0.92,4100
