sizes,probs,cells
31.4,0.74,4700
14.4,0.78,3550
99,0.6,1750
87.8,0.37,400
1.4,0.26,2150
96.8,0.29,850
14,0.39,3050
49.6,0.86,2500
30.4,0.83,3400
68.8,0.6,2550
58.4,0.33,1150
8.4,0.57,450
50,0.57,4150
36.6,0.99,1000
14.8,0.83,600
93.2,0.7,400
47.2,0.34,4500
40.2,0.59,3700
81,0.27,3350
74,0.26,4800
34.4,0.5,1700
81.2,0.73,2000
79.4,0.97,850
34.2,0.32,2250
69.8,0.89,2950
28,0.38,4200
58.8,0.78,1300
38.2,0.2,1800
17.8,0.74,3600
52.8,0.11,4400
59.8,0.61,3800
71.4,0.14,2750
51,0.27,2950
61.2,0.91,4650
46.2,0.55,2700
8.4,0.44,3650
50,0.96,2900
46.4,0.76,1450
53.4,0.63,2300
79.8,0.3,650
80.2,0.1,450
74,0.34,300
54.4,0.78,3600
67,0.18,4300
81.2,0.01,2250
67,0.02,1300
40.4,0.39,2400
82.8,0.63,3450
39,0.35,4450
79.6,0.48,350
73.8,0.84,4450
46.6,0.18,4300
48.6,0.57,2450
69,0.95,3350
55.4,0.23,2100
95.8,0.86,4850
22.2,0.62,4800
9.2,0.94,300
0.2,0.25,1500
34.8,0.92,3350
49.6,0.88,550
89.2,0.1,500
45.8,0.66,1800
26.4,0.88,4550
3.4,0.78,4200
13,0.79,200
75,0.73,3450
86.4,0.43,650
78.2,0.29,4800
91,0.57,3750
10.2,0.32,250
20.6,0.12,2350
43.4,0.2,4150
30.6,0.9,3150
4.2,0.14,5000
88.2,0.9,4450
10.2,0.17,2000
85.8,0.51,700
91.2,0.06,1600
69.4,0.7,300
20,0.57,1600
62.6,0.7,3350
30.6,0.62,4300
13.4,0.19,2600
26,0.98,4050
21.6,0.72,3500
75.6,0.94,300
97.2,0.52,4250
36.8,0.88,2850
94,0.77,2850
31.6,0.39,3450
88.2,0.34,200
54.4,0.91,3650
94.8,0.46,4450
72.6,0.33,4100
15.2,0.29,1450
24,0.18,2150
12.6,0.95,3850
81.4,0.36,3250
78.2,0.85,4900
47.2,0.79,4700
32.4,0.05,3550
91.8,0.8,1750
43.2,0.19,400
21.2,0.11,2150
75,0.92,850
48.2,0.56,3050
75.6,0.42,2500
65.6,0.41,3400
8,0.02,2550
70,0.45,1150
76.8,0.67,450
95.4,0.16,4150
89.8,0.53,1000
41,0.09,600
15.6,0.78,400
92.2,0.98,4500
2.8,0.52,3700
74.2,0.93,3350
3.4,0.91,4800
91.2,0.22,1700
81.4,0.78,2000
91,0.13,850
32.4,0.68,2250
72.2,0.53,2950
31,0.08,4200
17.2,0.15,1300
68,0.82,1800
3.8,0.08,3600
38.4,0.16,4400
59.2,0.67,3800
43.2,0.38,2750
86.4,0.29,2950
80,0.51,4650
95.4,0.18,2700
55.6,0.82,3650
52.4,0.03,2900
83.6,0.49,1450
48.4,0.47,2300
45.6,0.64,650
61.6,0.96,450
14.2,0.02,300
93.6,0.05,3600
71.6,0.55,4300
44.4,0.62,2250
31,0.08,1300
65.2,0.55,2400
37.8,0.78,3450
20,0.7,4450
32.8,0.83,350
26,0.74,4450
12.2,0.54,4300
57,0.6,2450
31.4,0.43,3350
23.8,0.8,2100
13.8,0.17,4850
16.4,0.45,4800
14,0.83,300
48.2,0.92,1500
79.2,0.69,3350
34.6,0.74,550
94,0.14,500
90.6,0.71,1800
53.2,0.44,4550
81.2,0.6,4200
37.4,0.22,200
11.4,0.76,3450
47.4,0.52,650
46.2,0.43,4800
83.4,0.95,3750
40.6,0.65,250
28.6,0.27,2350
11.4,0.9,4150
76.4,0.53,3150
80.4,0.77,5000
0.2,0.99,4450
17.2,0.57,2000
16,0.19,700
12.6,0.54,1600
36.4,0.34,300
45.8,0.43,1600
10.2,0.99,3350
53.4,0.29,4300
33.8,0.27,2600
98.6,0.3,4050
2.8,0.12,3500
60,0.69,300
19,0.21,4250
62.4,0.92,2850
99,0.53,2850
85.2,0.33,3450
35.4,0.72,200
1,0.17,3650
15.8,0.2,4450
39.2,0.24,4100
1.6,0.2,1450
61,0.88,2150
8.6,0.48,3850
69.8,0.39,3250
53.2,0.2,4900
39.2,0.88,4700
7.8,0.5,3550
28.6,0.95,1750
47.2,0.99,400
69.4,0.86,2150
52.8,0.64,850
19.4,0.61,3050
51.2,0.67,2500
26.2,0.94,3400
10.2,0.22,2550
94,0.4,1150
24.8,0.13,450
30,0.33,4150
67,0.2,1000
88,0.57,600
67.4,0.95,400
19.6,0.4,4500
50.6,0.78,3700
24,0.22,3350
42.4,0.64,4800
76,0.36,1700
45.4,0.49,2000
75.8,0.11,850
41.8,0.9,2250
29.2,0.34,2950
32.6,0.9,4200
98.8,0.54,1300
51.8,0.68,1800
99.2,0.22,3600
8.8,0.47,4400
90.4,0.02,3800
93.8,0.84,2750
56.8,0.58,2950
39.4,0.71,4650
49.6,0.19,2700
41.2,0.02,3650
36.6,0.74,2900
39,0.44,1450
2.4,0.59,2300
60.8,0.34,650
74,0.5,450
14,0.07,300
90,0.15,3600
5,0.05,4300
48,0.71,2250
76,0.93,1300
61,0.44,2400
75.8,0.12,3450
90.4,0.65,4450
18.8,0.26,350
9.4,0.35,4450
14.8,0.17,4300
89.2,0.19,2450
19.6,0.87,3350
93,0.52,2100
51,0.11,4850
36.8,0.89,4800
20.8,0.19,300
93.2,0.84,1500
18.4,0.09,3350
75.2,0.99,550
98.2,0.42,500
14.6,0.19,1800
96.2,0.3,4550
37.8,0.22,4200
63.2,0.04,200
0.4,0.14,3450
81,0.75,650
43.4,0.13,4800
21.6,0.23,3750
71.4,0.89,250
12.2,0.33,2350
16,0.16,4150
8.6,0.7,3150
94.2,0.42,5000
66.8,0.61,4450
97,0.93,2000
64.6,0.13,700
65.6,0.09,1600
85.6,0.32,300
59,0.21,1600
1.2,0.05,3350
63,0.1,4300
87.2,0.45,2600
29,0.91,4050
51.6,0.43,3500
28.8,0.97,300
30,0.92,4250
31.2,0.74,2850
95.2,0.42,2850
30,0.45,3450
44.8,0.87,200
0.8,0.75,3650
9.6,0.58,4450
93.4,0.84,4100
19.8,0.81,1450
83.4,0.93,2150
45.8,0.41,3850
35,0.35,3250
45.6,0.43,4900
69.6,0.56,4700
98.4,0.84,3550
10.2,0.95,1750
6.2,0.94,400
19.8,0.64,2150
59.4,0.29,850
14.8,0.72,3050
90.6,0.9,2500
100,0.87,3400
72.6,0.6,2550
86.4,0.21,1150
92.2,0.78,450
71.2,0.22,4150
47.6,0.44,1000
22,0.77,600
27.6,0.49,400
69.6,0.94,4500
82,0.64,3700
86.6,0.16,3350
40.8,0.15,4800
11,0.59,1700
33,0.42,2000
60.8,0.51,850
82,0.41,2250
56,0.6,2950
81.4,0.52,4200
35.2,0.17,1300
82,0.19,1800
31.8,0.63,3600
82.6,0.43,4400
19.4,0.58,3800
27.8,0.24,2750
82.6,0.56,2950
82,0.5,4650
2.8,0.25,2700
84.4,0.19,3650
71.6,0.78,2900
94.6,0.49,1450
85.2,0.2,2300
76.2,0.61,650
24.6,0.82,450
13.4,0.02,300
83.6,0.64,3600
86.6,0.12,4300
26.6,0.43,2250
62.6,0.61,1300
91.4,0.34,2400
63.2,0.39,3450
93.6,0.13,4450
20.2,0.78,350
36.6,0.47,4450
100,0.71,4300
38.6,0.15,2450
30.4,0.16,3350
4.6,0.96,2100
32.2,0.86,4850
56.8,0.7,4800
62,0.41,300
12.8,0.7,1500
8.2,0.73,3350
15.8,0.75,550
38.6,0.59,500
95.2,0.23,1800
75.2,0.66,4550
49.8,0.86,4200
46.8,0.97,200
64,0.74,3450
92.4,0.75,650
52.4,0.95,4800
30,0.03,3750
11.6,0.73,250
10.8,0.98,2350
99.8,0.88,4150
26.6,0.03,3150
49.4,0.94,5000
55,0.1,4450
13,0.58,2000
10,0.38,700
7,0.17,1600
24.4,0.58,300
9.2,0.13,1600
79.8,0.24,3350
57.8,0.97,4300
9.8,0.66,2600
32.8,0.29,4050
23.2,0.57,3500
83,0.91,300
52.6,0.41,4250
90.4,0.16,2850
28.2,0.45,2850
37.4,0.11,3450
67.2,0.65,200
7.8,0.34,3650
85.6,0.29,4450
66.4,0.22,4100
59.2,0.11,1450
32,0.18,2150
17.6,0.37,3850
76.2,0.57,3250
58.2,0.25,4900
90.6,0.62,4700
86.6,0.97,3550
87.2,0.45,1750
55.6,0.55,400
62,0.12,2150
85,0.97,850
46.6,0.61,3050
38.2,0.46,2500
89.4,0.12,3400
46.8,0.63,2550
68.8,0.67,1150
67.4,0.16,450
91,0.93,4150
91.8,0.82,1000
95.2,0.76,600
31.8,0.57,400
28.6,0.94,4500
97.6,0.59,3700
61.4,0.32,3350
72.6,0.23,4800
51.8,0.45,1700
58.4,0.01,2000
38.4,0.42,850
49.6,0.81,2250
17.6,0.17,2950
23,0.32,4200
3.8,0.62,1300
81.4,0.19,1800
67.4,0.73,3600
50.8,0.34,4400
55,0.23,3800
35,0.41,2750
70,0.7,2950
85.8,0.49,4650
38,0.44,2700
39.4,0.69,3650
61.6,0.21,2900
15.2,0.57,1450
12,0.12,2300
22,0.55,650
56,0.37,450
76.4,0.78,300
77.6,0.14,3600
75.4,0.2,4300
60.4,0.24,2250
65.8,0.88,1300
59.6,0.51,2400
35,0.07,3450
57.6,0.76,4450
58.4,0.55,350
51.8,0.9,4450
88.2,0.44,4300
32.8,0.78,2450
71.8,0.33,3350
44.4,0.97,2100
84.2,0.88,4850
44,0.68,4800
65.8,0.42,300
21,0.02,1500
18.6,0.96,3350
51.6,0.94,550
78.4,0.01,500
1.4,0.42,1800
75.2,0.79,4550
55.6,0.19,4200
89,0.83,200
37.2,0.16,3450
61.2,0.92,650
17.2,0.08,4800
81.6,0.97,3750
5.4,0.94,250
96.2,0.12,2350
86.2,0.62,4150
8.2,0.96,3150
17.8,0.83,5000
26.8,0.85,4450
27.8,0.01,2000
12.8,0.43,700
26.2,0.83,1600
6.2,0.76,300
14,0.2,1600
74.6,0.72,3350
34.6,0.16,4300
66,0.74,2600
73.2,0.55,4050
85,0.13,3500
39,0.99,300
79.2,0.06,4250
60.4,0.34,2850
94,0.28,2850
27.4,0.56,3450
1.6,0.83,200
17.6,0.48,3650
40.6,0.18,4450
11.8,0.87,4100
32.2,0.87,1450
89,0.15,2150
29.6,0.59,3850
69.8,0.84,3250
47,0.23,4900
52.6,0.11,4700
40.2,0.99,3550
85.4,0.79,1750
53.2,0.62,400
89,0.11,2150
32.2,0.36,850
44.2,0.68,3050
11.6,0.28,2500
51.8,0.44,3400
83,0.23,2550
6.4,0.06,1150
1.2,0.6,450
60,0.05,4150
5,0.61,1000
54.4,0.07,600
71,0.29,400
98.8,0.16,4500
85.6,0.32,3700
33.4,0.89,3350
70.6,0.55,4800
93.2,0.64,1700
1.2,0.98,2000
75.2,0.8,850
16.4,0.34,2250
60.2,0.87,2950
79.2,0.01,4200
85.2,0.28,1300
71.2,0.38,1800
48.4,0.39,3600
98.4,0.71,4400
52,0.53,3800
90.8,0.04,2750
48,0.1,2950
68,0.96,4650
58.6,0.21,2700
32.4,0.27,3650
59.4,0.97,2900
82.2,0.29,1450
24.8,0.11,2300
72,0.07,650
70,0.97,450
58.2,0.4,300
93.8,0.22,3600
94.2,0.74,4300
27.8,0.65,2250
31.8,0.7,1300
11,0.51,2400
42.4,0.48,3450
63.8,0.97,4450
28.4,0.36,350
100,0.04,4450
14,0.65,4300
27.8,0.51,2450
23.6,0.88,3350
13.2,0.15,2100
63.6,0.41,4850
36.8,0.44,4800
56.4,0.45,300
98.8,0.92,1500
64.2,0.05,3350
9.6,0.22,550
79.4,0.11,500
14.4,0.28,1800
43.6,0.91,4550
94,0.17,4200
85,0.89,200
95.2,0.87,3450
46,0.5,650
78,0.74,4800
75.2,0.05,3750
98.4,0.29,250
70.4,0.12,2350
98.4,0.81,4150
6.2,0.19,3150
87,0.35,5000
30.2,0.52,4450
2.2,0.11,2000
81.2,0.94,700
37,0.91,1600
2.2,0.17,300
53.8,0.24,1600
77.8,0.84,3350
36.8,0.2,4300
85.8,0.77,2600
84.2,0.99,4050
63.8,0.47,3500
85.4,0.71,300
52.8,0.32,4250
0.2,0.15,2850
76.8,0.52,2850
85,0.04,3450
28,0.46,200
73.4,0.43,3650
23.2,0.48,4450
69.8,0.69,4100
56.6,0.95,1450
100,0.01,2150
70,0.89,3850
57.4,0.74,3250
13,0.06,4900
62.8,0.25,4700
17,0.62,3550
86.8,0.96,1750
41.2,0.33,400
68.6,0.8,2150
13.6,0.35,850
38.8,0.38,3050
30.6,0.8,2500
12.2,0.44,3400
88.2,0.93,2550
17.6,0.47,1150
62.8,0.03,450
92.4,0.43,4150
3.6,0.86,1000
57.2,0.13,600
48.2,0.8,400
30.4,0.52,4500
24.6,0.49,3700
83.2,0.21,3350
37.4,0.03,4800
6.8,0.32,1700
12.6,0.2,2000
3.4,0.85,850
81.8,0.24,2250
51.8,0.96,2950
68,0.87,4200
94.8,0.48,1300
59,0.08,1800
77.4,0.68,3600
9.4,0.05,4400
6.6,0.18,3800
88.8,0.6,2750
23.2,0.46,2950
71.2,0.17,4650
13.6,0.42,2700
44.8,0.89,3650
99.8,0.25,2900
98,0.32,1450
87.8,0.19,2300
33.2,0.41,650
74.8,0.93,450
75.8,0.27,300
77.6,0.04,3600
80.8,0.78,4300
81.4,0.91,2250
11.2,0.53,1300
22,0.8,2400
86.2,0.12,3450
83.8,0.84,4450
67.2,0.7,350
77,0.95,4450
42.2,0.84,4300
56,0.5,2450
28.6,0.94,3350
53.8,0.29,2100
29.6,0.45,4850
15.2,0.76,4800
79.6,0.79,300
22.6,0.45,1500
51.2,0.6,3350
77.2,0.84,550
70.8,0.46,500
38.6,0.82,1800
83,0.28,4550
72,0.9,4200
18.8,0.53,200
99,0.67,3450
26.2,0.44,650
32.2,0.09,4800
33.8,0.12,3750
77.6,0.02,250
60.4,0.49,2350
22.6,0.51,4150
79,0.18,3150
15.6,0.47,5000
30.4,0.93,4450
1.2,0.72,2000
89,0.99,700
84.2,0.98,1600
35.8,0.23,300
26.2,0.7,1600
45.2,0.35,3350
62,0.82,4300
81.6,0.08,2600
29,0.08,4050
70.8,0.82,3500
48.6,0.08,300
46.6,0.35,4250
74.4,0.98,2850
24,0.49,2850
80.2,0.7,3450
47.6,0.54,200
64,0.3,3650
58.8,0.96,4450
12.6,0.72,4100
26.2,0.44,1450
12.8,0.74,2150
38.6,0.99,3850
