"genes","r_est","p_est","r_rmse","p_rmse","zero_prop"
"A2M",0.122980794649513,0.00216391807642286,60.4360750062739,0.0386734280669791,0.681539980256663
"AAAS",5.96772210065447,0.488396906076513,12.7732290649127,0.123162730136583,0.724909509707141
"AACS",2.8327244307043,0.471974459976961,22.2074774936214,0.125047181842983,0.851530108588351
"AAGAB",2.9056251371799,0.284036452557466,32.4639061859185,0.0866383350943203,0.70720631786772
"AAK1",1.36049633829793,0.147018656853222,45.9466930911858,0.0629688393000702,0.694241526818032
"AAMDC",4.32350660529664,0.235821206274825,26.0225800313477,0.0731185230062889,0.519183942086213
"AAMP",6.58032504785834,0.248927917087564,17.3775276336627,0.0720927802673156,0.406646923330043
"AAR2",9.17960802121667,0.642686333334557,0.0841800329477849,0.15394534959223,0.763014149391247
"AARS",1.53408854993828,0.189907483884456,43.6375863193861,0.0710881159365401,0.731029944060546
"AASDH",2.92842127573597,0.492618233182808,20.3249514700072,0.128893400392794,0.854359986837776
"AASDHPPT",3.9029638351468,0.296789362698716,27.2364644397121,0.0868280574557095,0.643237907206318
"AATF",3.06617093806866,0.238528656156839,32.3402912901479,0.0765317105209496,0.626653504442251
"ABCB7",4.62294392738837,0.453385995095774,17.8535343774937,0.117747531861428,0.74998354721948
"ABCB8",2.06776221676546,0.251932850471917,38.0533605105746,0.0821621474273466,0.744981901941428
"ABCC1",2.18285313001361,0.488130152404951,22.7438574718364,0.129305993701341,0.887133925633432
"ABCC5",0.862488170757207,0.0896206039459973,52.4022693702748,0.0535750542100181,0.702533728200066
"ABCD3",0.886333632204956,0.101054145567696,52.2388643911783,0.0558291773223686,0.720565975649885
"ABCD4",1.78464091773796,0.219693044322121,40.6491560397528,0.076203106881419,0.732477788746298
"ABCE1",3.83811675246407,0.302864653440686,27.0458217885028,0.0880132010842738,0.650148075024679
"ABCF1",4.44442480765925,0.301245548721874,24.5533385162845,0.0863999504106319,0.607239223428759
"ABCF3",5.92091433595274,0.511242327119366,11.9078064804429,0.128257341935477,0.747482724580454
"ABCG1",0.432353421874502,0.0878491202254652,59.8918616981426,0.0556047647797692,0.831391905231984
"ABHD10",2.70761931121583,0.470794533752538,22.5217782390796,0.124906501818691,0.854754853570253
"ABHD11",0.943799002956577,0.0853305880249848,51.8501701029593,0.0525951138481819,0.685291214215202
"ABHD12",1.17378182431615,0.0979889349876431,48.1606297826483,0.053870715169927,0.643764396182955
"ABHD13",8.72778792421252,0.634890929905321,0.855671323312031,0.152293937631762,0.763606449489964
"ABHD14B",5.40028066499705,0.21028260351506,21.5720175146033,0.0661285011751437,0.404606778545574
"ABHD17A",1.96014059227926,0.219862011616263,39.9309610779697,0.0759923414285296,0.720960842382363
"ABHD17B",2.07211917596299,0.645169664617682,10.3886051992893,0.160862894515271,0.940704179006252
"ABHD18",3.28919513240475,0.476996520131467,20.3288145949886,0.125034373538735,0.828759460348799
"ABHD2",0.544746762248456,0.0176194716695553,47.776410750821,0.0385948773985334,0.483316880552813
"ABHD3",1.03597640837223,0.252637488175692,44.7993265892376,0.0855396002628198,0.860282987824942
"ABHD4",0.872044239326023,0.212752511835204,48.3957443582926,0.0781726752734779,0.852583086541626
"ABHD5",1.65094254507522,0.197793088334612,42.7734227117618,0.0724520300924141,0.73037183283975
"ABHD8",3.98260166745199,0.558181307464717,13.4144522239657,0.140855225686937,0.847384007897335
"ABI1",3.69360795716289,0.230071769575665,28.7995830181425,0.0730958384777094,0.553734781178019
"ABI2",3.44649330812154,0.249520014216842,30.028467219605,0.0778003926482158,0.607634090161237
"ABI3",0.0959676131849998,0.0233024198274403,70.1994790662354,0.0451780556716037,0.898387627509049
"ABL1",1.18384534504129,0.16787972136254,47.3999902543338,0.0679267913508644,0.756498848305364
"ABL2",0.583034013310346,0.0564710375828043,55.2317896731226,0.0478199998969875,0.690950970714051
"ABLIM1",0.318857587136582,0.0364001774869214,61.3580929105062,0.0455621569013898,0.763145771635406
"ABR",1.42550517641956,0.183743607245904,44.9355574526371,0.0703343339180611,0.742415268180322
"ABRACL",2.40075722988749,0.0843310035596296,34.8089765544739,0.0471544481371927,0.389470220467259
"ABT1",55.5577102655778,0.867667326622241,22.98300471352,0.21711193112317,0.644093451793353
"ABTB1",1.43134320407458,0.175332203934111,44.5861896376863,0.0683397759326171,0.721289897992761
"ACAA1",3.68789773786761,0.187397890189338,29.8471606218562,0.0649935314021068,0.496873971701217
"ACAA2",1.94107514377261,0.200032588018978,40.1522250021786,0.0717637620888617,0.689700559394538
"ACACA",1.64074395622888,0.197738634863288,43.2314784944937,0.0726838605475094,0.738269167489306
"ACAD8",2.03212315959156,0.349086333353403,33.0015980488511,0.101760637888345,0.825863770977295
"ACAD9",4.46452941859835,0.469677008570445,17.5728502428392,0.121567342152149,0.771898650871997
"ACADM",3.87474253791211,0.305964047499528,26.6227128790545,0.088448282203166,0.648371174728529
"ACADS",0.852432387183868,0.161196170927979,51.3440395901575,0.0680936070206179,0.812898979927608
"ACADVL",3.00937108973305,0.079042310690585,27.8658991673313,0.0440225038189472,0.261599210266535
"ACAP2",4.71489986984621,0.202095837194934,23.1790974272336,0.0649263205775003,0.413688713392563
