"genes","r_est","p_est","r_rmse","p_rmse","zero_prop"
"A2M",0.0853241267930464,0.0016554474559661,59.9109443326212,0.0339292817358332,0.748157418995967
"AAAS",4.61731804828485,0.406797386772332,19.5313053719606,0.0966187168369082,0.718745654290085
"AACS",2.24426011925457,0.37520234253233,28.9517976775943,0.0947794574622847,0.832220831595049
"AAGAB",4.67071910443326,0.346147266822979,21.8488031242992,0.0854092226255966,0.660200250312891
"AAK1",1.15595466580661,0.11021912551737,45.0474459199435,0.0495771652345228,0.666388541232096
"AAMDC",4.61088011009256,0.238003848579745,24.0246049315476,0.0656866220444243,0.517035182867473
"AAMP",3.98954168732331,0.161326075127108,26.0113177666725,0.0530963963184375,0.416979557780559
"AAR2",6.20781871334416,0.52130649248806,10.6369146391244,0.1163433295978,0.747809762202753
"AARS",1.54641379637249,0.192693817131079,40.8481303586557,0.0632483307326707,0.735850368516201
"AASDH",2.54525973222177,0.406986273575475,25.8529986080025,0.0999078139376112,0.82971770268391
"AASDHPPT",3.1989898063827,0.23817198438482,30.1258790563381,0.0679398883535119,0.622792379363093
"AATF",2.61480001851966,0.188955036735663,33.6494583321724,0.0601590604652734,0.599638436935058
"ABCB7",4.79111062106664,0.436095170014951,17.6771769005031,0.101786085424207,0.733903490474204
"ABCB8",3.26865480280489,0.338346624128204,26.8373127065929,0.0860946547782438,0.733694896398276
"ABCC1",1.21372509822618,0.325844191328239,36.4054732783226,0.087994292697131,0.883326380197469
"ABCC5",0.832981971633036,0.0565975242298462,47.6151674170043,0.0411535395039422,0.616047837574746
"ABCD3",1.00508965004828,0.0965541316954112,47.5388689978684,0.0478726031271997,0.688360450563204
"ABCD4",1.82307800812609,0.22495479675158,37.8988221385973,0.0683085039185624,0.73835349742734
"ABCE1",4.00025691707504,0.285885759557455,25.5420222747638,0.0751271996808691,0.623696287025448
"ABCF1",5.1827207178731,0.300378530728775,20.891092488146,0.0759490715085422,0.568279794187178
"ABCF3",4.26944244214735,0.389043474657178,21.1345342230467,0.0936858337484886,0.717563621193158
"ABCG1",0.559109774804273,0.107786946549165,53.6251292782745,0.0513131225571552,0.822555972743707
"ABHD10",4.71307794544183,0.55124691398205,12.1221045753964,0.12389912762871,0.821373939646781
"ABHD11",0.881264936872431,0.0575771846114562,47.7876810097752,0.0413884515670928,0.621471283548881
"ABHD12",1.67374243360636,0.137792819677314,40.975205992754,0.053382425312606,0.641496314837992
"ABHD13",6.86237359967584,0.573211164166258,7.0141603396348,0.125781652632175,0.766235572243082
"ABHD14B",4.27130068200282,0.168589664041,25.2214094622629,0.0541249713837953,0.416910026421916
"ABHD17A",2.11756716664275,0.221468690130104,36.5065783010544,0.0671836270388926,0.70748157418996
"ABHD17B",1.12624956097557,0.476928807768171,25.4300627115746,0.114969106121408,0.938395216242525
"ABHD18",3.70565385089294,0.481864987997249,18.1156998970545,0.111897183744298,0.815394242803504
"ABHD2",0.594193775406656,0.0117894516218151,39.8158242246964,0.0330458457122491,0.380127937699903
"ABHD3",0.887405648167993,0.211846601745343,45.5923509826154,0.0686427756381714,0.856070087609512
"ABHD4",0.851726463278504,0.193524540572417,46.7061248724986,0.0654330199791837,0.844736476150744
"ABHD5",2.18756209606245,0.233431636442691,35.7681522743124,0.0691877833640899,0.714851898206091
"ABHD8",3.8738073262661,0.527533342794938,15.1511970121576,0.120338721353696,0.836948963982756
"ABI1",7.31871654839354,0.373600840774524,12.7006619864432,0.0863431497046385,0.550062578222778
"ABI2",3.24959580896164,0.209234624249913,29.9763428879879,0.0625545974564297,0.57008760951189
"ABI3",0.074823832756783,0.0203105838705651,66.6804277263047,0.0380256005034946,0.914059240717564
"ABL1",1.32584027509393,0.173754957769037,43.2238977556961,0.0605052957089099,0.746141009595327
"ABL2",0.91910198736783,0.114346409584834,48.2847335307593,0.0511387017454901,0.734181615908775
"ABLIM1",0.522408349274015,0.0716568840905159,54.5830718361,0.0450572825881253,0.775622305659853
"ABR",1.51042620325153,0.160822946705541,42.0334168913494,0.0577705767331044,0.701640940063969
"ABRACL",1.71802869281061,0.0631071940743316,36.4246016004403,0.0401236866115982,0.419899874843554
"ABT1",10.999540688602,0.529575259782841,2.3578129980086,0.113767036150429,0.62119315811431
"ABTB1",1.69848321637927,0.203684528067053,39.3524641575664,0.0647884782316775,0.727784730913642
"ACAA1",4.51929537511312,0.211106683807919,24.4184548588823,0.061057130323298,0.477541371158392
"ACAA2",1.67484712309391,0.183117515632839,39.9571643653935,0.0611519499236413,0.702822973160896
"ACACA",1.76825770697202,0.144246781368122,40.0171459848488,0.0542276169023339,0.635447086636073
"ACAD8",2.39791443383931,0.393751515573589,27.1278653481085,0.0977420809610092,0.830482547628981
"ACAD9",3.67928763623339,0.388113712194445,23.1355612238149,0.0945276653206349,0.750869141983034
"ACADM",2.63384934203214,0.209099303375107,33.4523163030039,0.0637538814170394,0.631344736476151
"ACADS",0.742457701491077,0.175591553602057,48.6860638333781,0.0626319708909685,0.850090390766236
"ACADVL",2.83448496794184,0.0802372352200968,27.4014890665206,0.0407926011804494,0.288902795160617
"ACAP2",4.1078873100534,0.179002043159747,24.6447490754918,0.055431982115287,0.423515505492977
"ACAT1",1.54883912598111,0.130199659362406,41.707337363524,0.0522236858850196,0.641079126686135
"ACAT2",1.03480540734863,0.165722858313455,46.3365562646192,0.0600146418083311,0.789389514671117
"ACBD3",3.34068141399665,0.27635743707039,28.7931821692698,0.0746913379212431,0.664441663190099
"ACBD5",3.10874628610044,0.371826698129101,25.9299079014216,0.09255326490412,0.773119176748714
"ACBD6",6.26204084654344,0.265099418535859,18.0483612843785,0.0683645675339524,0.462592129050202
"ACD",4.04528687431537,0.40211525453929,21.2322107651644,0.0964526328309231,0.740508969545265
"ACER3",0.681555944019811,0.152274665683627,50.4157356502559,0.0587170412902358,0.841329439577249
"ACIN1",3.83792087293205,0.171706322976954,26.3448418953276,0.054815738977443,0.440481157001808
"ACLY",1.59942867587291,0.0828155212806564,38.8180493049556,0.0435980823890146,0.500834376303713
"ACO1",0.838820587127535,0.188125467386254,47.0689934869467,0.0645072028009576,0.842024753163677
"ACO2",6.29517313208004,0.342956904033029,16.8839134262966,0.0824947133085939,0.570991517174246
"ACOT13",3.24512355762582,0.251483657896946,29.9654046991342,0.0704340841610499,0.64295647336949
"ACOT7",0.659488367982331,0.12232806189742,52.0628289362877,0.0536031033182318,0.819218467528856
"ACOT8",4.68279235138536,0.376564265653947,20.7406795568589,0.091033431226354,0.690724516757057
"ACOT9",0.716728627984806,0.111737342104992,51.0085358371506,0.051361517475286,0.780419969406202
"ACOX1",2.27677891095609,0.225750982810418,35.1538112148047,0.0674528274094317,0.690446391322486
"ACOX3",1.20256808254189,0.196005635265307,43.8675158528078,0.0649627293258572,0.796968432763176
"ACP1",8.44995412664101,0.200941186961406,12.5681525966175,0.0559299644571573,0.269294952023363
"ACP2",1.50002752266811,0.141731216553662,42.0312435966634,0.0543207085380728,0.667570574329022
"ACP5",0.331359762378728,0.0255256873858756,55.1877458003668,0.0372813177204285,0.70191906549854
"ACP6",1.36738008176967,0.254433993883152,39.9548556656407,0.0749369120594595,0.826380197469059
"ACSF3",8.83028608248743,0.70600015228232,1.14944734115916,0.152032798031891,0.825963009317202
"ACSL1",0.462610865335726,0.0533456318672432,54.8838412524365,0.0419243921324074,0.747809762202753
"ACSL3",1.55301833037611,0.0569652867223837,36.6337822227869,0.0391873132094153,0.411277986371854
"ACSL4",0.189647636214224,0.0487148730174561,62.0913633436315,0.0423887555963616,0.877138089278265
"ACSL5",0.206851099979149,0.0735330423393216,61.1434809617947,0.0467260102982495,0.903699068279794
"ACSS1",1.13518967061072,0.244812358173184,41.9844907026887,0.0738239941893445,0.846822416910026
"ACTB",2.03236369020432,0.0016869173521118,20.4056551396288,0.0297191490792202,0.000278125434570991
"ACTG1",3.70094601751393,0.00515554442258954,19.1249105178673,0.0304724550720653,0.00111250173828397
"ACTL6A",4.05224963880592,0.282091725382208,25.2813923931283,0.0742638901106817,0.612710332359894
"ACTN1",0.742788719075894,0.0160043697228009,37.0691242887922,0.03325785329984,0.336184119037686
"ACTN4",1.91795342269213,0.0452362049059872,28.7682353481698,0.0360407350894033,0.242108190794048
"ACTR10",2.30440348349916,0.144041769120342,34.8621580764647,0.0526348544629325,0.541093032957864
"ACTR1A",4.92324892912493,0.264807474921515,21.6085122290005,0.069430331696663,0.52023362536504
"ACTR1B",6.7000115477594,0.430296928198716,13.3342848033565,0.098372656084962,0.65081351689612
"ACTR2",3.23687708377523,0.101418379331048,26.4027002437817,0.0436708684769554,0.311917674871367
"ACTR3",2.29949224360784,0.059004029688524,27.9033038449011,0.0377998317305864,0.254693366708385
"ACTR6",2.23323478306565,0.27689923185162,34.003298533877,0.0769555710508288,0.757474621054095
"ACTR8",2.6398886813182,0.467481218979875,21.7952073470787,0.110815926458333,0.857182589347796
"ACVR1",0.819825459240867,0.157944315472334,48.5421117607875,0.0592102758453049,0.816437213183146
