"genes","r_est","p_est","r_rmse","p_rmse","zero_prop"
"A2M",0.175197825188982,0.00194704486483713,3.88427778098541,0.0233088981686557,0.56712542196832
"AAAS",2.33882100069824,0.287850344250853,5.08472514720058,0.0518076847807528,0.746819008049857
"AACS",0.917866251503409,0.192877937536832,5.41912469258691,0.0521583280004332,0.832511036094521
"AAGAB",1.46680085998863,0.174413203840935,4.73868206768807,0.0443552307326655,0.720592054011945
"AAK1",2.52762484667442,0.174011411331946,3.84961693892886,0.0353711333374688,0.57543495196053
"AAMDC",1.16574648926271,0.0612693108011965,3.40199461844994,0.0230306478372089,0.506621656712542
"AAMP",4.2574261693457,0.192949191856094,2.94048130646773,0.0280769965210056,0.430277849909114
"AAR2",24.1689387422794,0.852192871487727,21.7768198176467,0.0714908549556075,0.798753570501169
"AARS",1.40845327259205,0.170081421268286,4.75021045568043,0.0442850706874996,0.723188782134511
"AASDH",2.6321328166688,0.412129791366333,5.83117518092024,0.0612920545395169,0.820306413918463
"AASDHPPT",4.41934753517146,0.334555924329754,4.85261164671886,0.0491294684647552,0.646065956894313
"AATF",10.2370061889459,0.538641512059547,7.55119535079222,0.0597857138397919,0.63723708127759
"ABCB7",3.82596624142777,0.408969325862615,5.69955288893551,0.0580795095690553,0.753570501168528
"ABCB8",2.66421945893587,0.360120529636467,5.53550905790051,0.0573343567512418,0.786808621137367
"ABCC1",1.33930824798603,0.285494859306934,5.59669695942462,0.0571142696296549,0.847572059205401
"ABCC5",0.517703734253189,0.0551419501340316,4.77115535964002,0.0380066698996884,0.722669436509997
"ABCD3",0.748031373579535,0.0927669930727808,4.82692002599087,0.0409683559367965,0.735912749935082
"ABCD4",1.04940191022144,0.113181903927692,4.53481352939147,0.0390993646927667,0.691508699039211
"ABCE1",2.42318900616496,0.220939086581166,4.50339063694099,0.043731936597911,0.667359127499351
"ABCF1",6.35280061279441,0.435915436924423,5.86907729527577,0.0555160658679058,0.665281745001298
"ABCF3",4.95339856755787,0.50671364698064,6.53049795765058,0.0634795025049256,0.775123344585822
"ABCG1",0.423792510269484,0.0664302271517852,5.22325888901976,0.0438964169220351,0.797195533627629
"ABHD10",6.51462024873612,0.601697874257653,7.80081222274038,0.0680757172336307,0.795897169566346
