"genes","r_est","p_est","r_rmse","p_rmse","zero_prop"
"A2M",0.33886091631664,0.00343757724705162,7.99660620874389,0.0250966818345692,0.426178010471204
"AAAS",6.40832823140269,0.599295384654309,8.12439255372847,0.12350354203897,0.813612565445026
"AACS",1.57801853773444,0.478037802369754,1.33164425849256,0.118686704896386,0.922513089005236
"AAGAB",1.9958924674005,0.273474311935424,3.08707822070554,0.0890547424857825,0.787434554973822
"AAK1",3.28470658081329,0.260272981826709,2.33511602592128,0.0780496759949586,0.66282722513089
"AAMDC",1.66624562234732,0.130783835255972,5.95672560831105,0.0604066990684221,0.631413612565445
"AAMP",9.60315000043751,0.426948993565757,5.3817907098715,0.090734722787266,0.564397905759162
"AAR2",4.03971454579753,0.508170644136202,3.97233453075189,0.115834933458462,0.832460732984293
"AARS",3.01128291083417,0.325303699461035,1.14399853031012,0.0915810104080777,0.747643979057592
"AASDH",51.9905500697613,0.956171657508456,64.182919943402,0.138896503997407,0.890052356020942
"AASDHPPT",3.40263741338404,0.307921140949482,1.24672846477875,0.0867029045870579,0.706806282722513
"AATF",3.9576708106255,0.335144407446222,0.271472926995325,0.0895823380802597,0.705759162303665
"ABCB7",63.9576077077335,0.94499668927243,74.2774469009909,0.133656763329631,0.836649214659686
"ABCB8",51.0608163145563,0.92379625979351,60.03766847881,0.137878696466012,0.817801047120419
"ABCC1",0.50407945126343,0.167071494458796,6.90038531489927,0.0872899209341071,0.89738219895288
"ABCC5",1.72571781072798,0.286555245969863,3.05062862695903,0.0933477012562571,0.826178010471204
"ABCD3",1.14030677729122,0.236604009359092,4.67174714127886,0.0901336095425546,0.849214659685864
"ABCD4",0.871996192859737,0.0803005104342386,7.71601695706283,0.0598745704999724,0.691099476439791
"ABCE1",3.2542219091739,0.280213224801504,1.95741840345918,0.0825174555344726,0.692146596858639
"ABCF1",3.30490204541133,0.277866093830911,1.95802702057535,0.0814827242521369,0.681675392670157
"ABCF3",2.82483368614703,0.395795584377362,0.325710141428177,0.103727524612755,0.816753926701571
"ABCG1",0.39418971236802,0.0849758310320474,8.68667770427591,0.0751933908631853,0.852356020942408
"ABHD10",63.9957848485044,0.950092050663054,74.9416403049577,0.133715989479762,0.849214659685864
"ABHD11",0.5394046026357,0.116542641730524,7.86982766176523,0.0783586547446733,0.852356020942408
"ABHD12",0.716417267401579,0.0735194360942824,8.12534788303314,0.0623879595692979,0.726701570680628
"ABHD13",18.0513030582846,0.7801117394476,23.0187812578353,0.13707475812949,0.785340314136126
"ABHD14B",4.87942114337904,0.252591124929942,1.40379613384679,0.0671143234862373,0.530890052356021
"ABHD17A",1.46693520914694,0.152260973531095,5.9355011120422,0.0701054289863931,0.715183246073298
"ABHD17B",3.04645918202577,0.700993636387801,8.18959748781511,0.139879308463037,0.939267015706806
"ABHD18",1.25617278898507,0.321932627047278,2.65978612054899,0.101351471816765,0.88586387434555
"ABHD2",1.34716663378814,0.117815435230312,6.56091012055735,0.0621902317189581,0.669109947643979
"ABHD3",2.94124724984377,0.517287139682217,3.3762665324765,0.119565701429216,0.878534031413613
"ABHD4",2.55069801375999,0.518493959621279,3.10685846035435,0.120501879859234,0.891099476439791
"ABHD5",1.24751075784014,0.198574037174815,5.34257621013118,0.0825921622061399,0.804188481675393
"ABHD8",2.37136900121592,0.552049526585709,3.80220018886037,0.124988039508795,0.91413612565445
