"genes","r_est","p_est","r_rmse","p_rmse","zero_prop"
"A2M",0.0211734180258061,0.00312922445731184,40.6518052394685,0.00483831792046301,0.946353730092205
"AAAS",3.78358680161688,0.425738026146896,15.4258858434956,0.0277123797985326,0.813285834031853
"AACS",1.11493674627419,0.350572096283298,22.2449716668889,0.0212957081918969,0.917539815590947
"AAGAB",5.83751339009006,0.416397118786316,12.9065379438949,0.027662545407619,0.718880972338642
"AAK1",0.964656795638491,0.048773058213353,26.4118307568406,0.00937037352437965,0.564124056999162
"AAMDC",1.6060947074893,0.297849261885036,22.990294864442,0.0182026399606694,0.8581307627829
"AAMP",13.4405680213895,0.391834463660747,4.33076539857787,0.0274262195124309,0.434094719195306
"AAR2",4.23974732096201,0.41354078105462,14.9195381704978,0.0270007470432599,0.779337803855826
"AARS",1.28379355756716,0.160487968690694,27.2263040292948,0.010409659951048,0.774727577535624
"AASDH",1.82103014061081,0.464134623989837,16.6401660103624,0.0298042398911696,0.915444258172674
"AASDHPPT",5.41535842543376,0.270340369706275,14.2487774315099,0.0202710533197002,0.551655490360436
"AATF",4.88455578571078,0.255452289669076,15.6538238648297,0.0193443572446112,0.570725062866723
"ABCB7",5.85262935145466,0.482005073684628,11.5128121246381,0.0319163182380307,0.768755238893546
"ABCB8",3.394469310955,0.437986378236119,15.5635242658074,0.0284188815277425,0.836756077116513
"ABCC1",1.29584733588245,0.187503059713929,26.6707014201413,0.0116122487023155,0.800398155909472
"ABCC5",1.17227638151002,0.348125317580164,22.2237047325906,0.02116710911569,0.912929589270746
"ABCD3",1.38173650453028,0.322776649172634,22.7307978700519,0.0196025046190206,0.888935456831517
"ABCD4",2.73705419337929,0.285475470601177,20.222278844473,0.0186557618962651,0.753248113998324
"ABCE1",1.66939107660307,0.127602418487055,25.1509128251314,0.0110041293504638,0.657376362112322
"ABCF1",3.24124918829239,0.169288079493503,19.3645149461001,0.0154138243007856,0.548407376362112
"ABCF3",2.34775975800756,0.250861671152771,21.8396293414376,0.0164995444654238,0.75
"ABCG1",0.413669412982211,0.0434138351835638,32.8556051600429,0.00349267011087886,0.760687342833194
"ABHD10",1.97216271902062,0.347200226515127,20.5979506796808,0.0216786746931854,0.859283319362951
"ABHD11",1.33175381618061,0.479450217858675,16.6324461275629,0.0308046301713311,0.941010058675608
"ABHD12",2.05392339649003,0.175580777063715,23.9254703496623,0.0129185571139009,0.696563285834032
"ABHD13",4.12437426974312,0.366127139830293,15.9318346596987,0.0240116009112429,0.741617770326907
"ABHD14B",3.89574805128395,0.248198518501958,18.2966394663376,0.018103627731454,0.638097233864208
"ABHD17A",1.10196917898824,0.141321343869061,28.2029377207664,0.00919042691416787,0.774518021793797
"ABHD17B",1.37975299367859,0.329652820622428,22.4435109381473,0.0200638530909549,0.890716680637049
"ABHD18",2.58326378537036,0.357549715497986,18.996049005086,0.022724939173322,0.824601844090528
"ABHD2",1.01228466549428,0.169977165434674,28.394788274105,0.00996387571599461,0.82638306789606
"ABHD3",1.38682575292276,0.106800280033064,26.1329130492879,0.00993959939736054,0.653709136630344
