"genes","r_est","p_est","r_rmse","p_rmse","zero_prop"
"A2M",0.0255232941389652,0.00368465810290333,23.3205575941014,0.0280917467050971,0.940035799522673
"AAAS",2.39326193799992,0.314850012486379,13.245229939528,0.0181034940083507,0.813693317422434
"AACS",0.740727290253365,0.172560065092419,17.8014071790857,0.0222696224242709,0.875447494033413
"AAGAB",3.22546608069517,0.282623749461696,12.4356581764868,0.0155654546560123,0.728520286396181
"AAK1",0.852500213330259,0.0332271182396078,14.5158944807734,0.00533500397710463,0.507756563245823
"AAMDC",1.65894495839322,0.266055034360622,14.7897530588631,0.0194921386206639,0.836515513126492
"AAMP",6.22417719488941,0.208193132891561,7.81303473010356,0.00404346825716144,0.408562052505967
"AAR2",5.23529288093679,0.430013945377056,9.90654258638989,0.0150023286409592,0.754474940334129
"AARS",0.838863909572155,0.0962531855307251,17.6075537281105,0.0180104886393947,0.761784009546539
"AASDH",1.24905224480277,0.360832439631796,13.9105409545586,0.0206124940979656,0.914976133651551
"AASDHPPT",2.74402263010562,0.162391386072644,12.4345429012276,0.0101631169246128,0.581742243436754
"AATF",4.17165304168602,0.228289357540659,10.912423602754,0.0106104941310183,0.58472553699284
"ABCB7",3.19122068157767,0.321613813459352,12.2843791316248,0.0165343000939279,0.767601431980907
"ABCB8",1.89521267334526,0.320218812185709,13.7933293379589,0.0192840030445478,0.852028639618138
"ABCC1",0.966373008942365,0.126813686014167,17.2031740509395,0.0187559268007217,0.782219570405728
"ABCC5",0.739227129163451,0.142110538965471,18.1228325405728,0.0216430182575464,0.851431980906921
"ABCD3",1.18408646394587,0.278687671127932,15.3856228745979,0.0210851222345462,0.886485680190931
"ABCD4",2.58202086143,0.278075558685569,13.1930559875583,0.0168995913432181,0.765214797136038
"ABCE1",2.03785550756724,0.14398226779494,14.3022483595939,0.0129792093154201,0.652595465393795
"ABCF1",2.40489913986823,0.102733549032956,12.3558663001031,0.00580992221943729,0.497464200477327
"ABCF3",1.83023536364899,0.184296514592397,14.7823718053807,0.0162455370997347,0.731056085918854
"ABCG1",0.267160325162892,0.0346425573322526,20.2321130529156,0.0211337001614779,0.815930787589499
"ABHD10",1.05062656668526,0.245500311754243,16.1062417587011,0.0214350699096794,0.881712410501193
"ABHD11",0.108690348893746,0.0452126936587927,22.1599866932866,0.0270804057180803,0.935113365155131
"ABHD12",2.08297691353903,0.173167074466892,14.3642335629535,0.0147308672647539,0.694063245823389
"ABHD13",2.34170669153912,0.228662553280188,13.7878839838507,0.0161619765078901,0.73508353221957
"ABHD14B",2.26042530388777,0.170985604164237,13.920339803981,0.0136797936141344,0.668257756563246
"ABHD17A",1.29492083864441,0.179343679090048,16.1640442382074,0.0189614149544516,0.797285202863962
"ABHD17B",1.04077828768012,0.206022071281313,16.6364934794067,0.0210820987974941,0.857696897374702
"ABHD18",2.34106649655192,0.341735894552101,12.9699672921153,0.0183966044139253,0.833233890214797
"ABHD2",0.695756739144874,0.119458841009769,18.3327978945111,0.0210535984466585,0.832040572792363
"ABHD3",1.05855408839541,0.0874299921170505,16.4377628926097,0.0145567905210805,0.687798329355609
"ABHD4",1.36182841921878,0.308851766573731,14.6182387637166,0.0205428729457773,0.884397374701671
"ABHD5",0.62374050313437,0.0348106263742347,16.8546214000306,0.0118162377340795,0.634546539379475
"ABHD8",2.73242573074899,0.605746889249923,8.76623202408523,0.0158874877077718,0.929445107398568
"ABI1",1.45942989613251,0.0350742193635607,11.3973300197733,0.00280538366197352,0.347255369928401
"ABI2",1.57921626530697,0.17825531606242,15.5775267677015,0.0175891668425704,0.764319809069212
"ABI3",0.235434151067397,0.0387370284069041,20.7322684826275,0.0227727852208674,0.848747016706444
"ABL1",0.286867687398213,0.104116400215895,20.307461461843,0.0251656967441564,0.916766109785203
"ABL2",0.179186760666126,0.0138359344423997,20.3427881648345,0.0200604043431644,0.792064439140811
"ABLIM1",0.417210015794838,0.0275669584035429,18.1703685256587,0.014895672985421,0.694510739856802
"ABR",1.15890042800749,0.209076486328509,16.3281925908792,0.0205487230770971,0.845167064439141
"ABRACL",1.2084428978718,0.0248524127617937,11.296105766322,0.00424153266671263,0.324880668257757
"ABT1",3.54034364137641,0.167037632855118,11.172590860087,0.00776863078009446,0.52326968973747
"ABTB1",0.930395995788562,0.110341943784015,17.2394209059916,0.017943378495552,0.761784009546539
"ACAA1",2.2989707915092,0.149915801510064,13.4567229482861,0.0115455444676014,0.617392601431981
"ACAA2",2.24178919908813,0.208638166056675,14.1497667739414,0.0159572770181162,0.728072792362768
"ACACA",1.77534703584496,0.34622275676934,13.596795117711,0.0196176889991621,0.875298329355609
"ACAD8",1.89291707283006,0.321586838465791,13.731665845595,0.019245293473853,0.850835322195704
"ACAD9",1.84601839044317,0.349318277784351,13.4628194113756,0.0194605903913765,0.871718377088305
"ACADM",2.70283873675299,0.247150828599163,13.27147213266,0.0158334766315409,0.730011933174224
"ACADS",1.27758985257092,0.340096126343658,14.2265172211536,0.0206720450227263,0.904683770883055
"ACADVL",2.66057601259931,0.0630332487524169,9.44634280837544,0.00460167367762793,0.293257756563246
"ACAP2",2.76385147717418,0.103207520512945,11.1741907628215,0.00319292198530897,0.438693317422434
"ACAT1",1.10916951015418,0.168664910693041,16.8133813367127,0.0198732024110354,0.817273269689737
"ACAT2",1.04442064763054,0.112019649308825,17.0085733427048,0.0174338183111712,0.751491646778043
"ACBD3",2.49254459657653,0.268077203928979,13.5651599108914,0.0171387674965667,0.771479713603819
"ACBD5",2.95589912750925,0.352871222881193,12.2391190919818,0.0173509646127308,0.804445107398568
"ACBD6",2.38590969051198,0.217893330573732,13.8613146487666,0.0157843972297927,0.72464200477327
"ACD",1.99106852338042,0.1702844202435,14.4150740390432,0.0147435181194813,0.693466587112172
"ACER3",0.565194153779735,0.0889501556088065,18.9762375763803,0.0210151025774666,0.824433174224344
"ACIN1",4.02021090786748,0.149955520554923,9.92698645518747,0.00411634404557834,0.439737470167064
"ACLY",2.74294202151469,0.218751106870689,12.9984923664393,0.0142099292083283,0.681533412887828
"ACO1",0.441387800436037,0.197744648995272,18.2548909949226,0.0242785170818779,0.934218377088305
"ACO2",5.03264369706662,0.264642919957712,9.96203824787808,0.0105980688844723,0.57846062052506
"ACOT13",1.67330698597416,0.245545310943385,15.0089341800316,0.0191845254099199,0.821449880668258
"ACOT7",0.513901430443368,0.067250365988279,19.0510438921219,0.0199565968432149,0.798329355608592
"ACOT8",1.94717857898761,0.294806736136954,14.0047592771805,0.0189382952703014,0.830847255369928
"ACOT9",0.714323663923231,0.0499277122454998,17.1151261603898,0.0136818950094394,0.67049522673031
"ACOX1",1.04706890277366,0.147708824624201,16.9929108885507,0.0193164802404104,0.799075178997613
"ACOX3",0.526426191121974,0.112251594672,19.0523894039846,0.0224520866929244,0.860680190930788
"ACP1",7.04340112141295,0.198623152144884,7.0358745395045,0.00199980997168638,0.359934367541766
"ACP2",1.15861311041288,0.248909941160947,15.8204981366217,0.0209905045178468,0.87082338902148
"ACP5",0.173851178426129,0.0114947338336624,19.9928383916037,0.0188958857698988,0.769689737470167
"ACP6",0.341427092219027,0.1135698625359,19.9184184108878,0.0246443141528238,0.908860381861575
"ACSF3",0.913462966067314,0.213508399025656,16.8217529893329,0.0217744175816336,0.877834128878282
"ACSL1",0.490809481159348,0.061400527452618,19.0839467199299,0.0196888179743325,0.791915274463007
"ACSL3",0.713133877447848,0.0457761049537351,16.9709055003934,0.0129787512317039,0.656772076372315
"ACSL4",0.444469893504497,0.0239537364759433,17.4264611754073,0.0125386938276416,0.649164677804296
"ACSL5",0.503304242768076,0.0828297466892472,19.1963132970287,0.0212521877124172,0.827863961813842
"ACSS1",0.531090810134346,0.09134315853953,19.0364503555654,0.0213236488939615,0.831145584725537
"ACTB",2.73061400888371,0.00177810296802825,5.61793303866068,0.0222546290954183,0.000149164677804296
"ACTG1",1.33754005909271,0.00166633259292855,6.13475626335851,0.0215621910533515,0.013126491646778
"ACTL6A",1.51583060898191,0.115683371768949,15.4719950886658,0.0139597949169033,0.675566825775656
"ACTN1",0.276189599036589,0.0105357478423347,18.2428318902476,0.0137619256259776,0.673180190930788
"ACTN4",2.25084080239515,0.048608472325024,9.7538727092697,0.00546483679819144,0.285650357995227
"ACTR10",6.33377212457502,0.345410371809146,9.06818862276246,0.0119530944897977,0.617392601431981
"ACTR1A",5.4252496093301,0.2533671615878,9.43357025370816,0.00918300249835736,0.538782816229117
"ACTR1B",1.53190388333925,0.144425550857623,15.5467501125105,0.0158406055870658,0.718377088305489
"ACTR2",3.03303916162404,0.0788187797899164,9.53301871206732,0.00276644435528745,0.321897374701671
"ACTR3",4.14177622042252,0.0560076736836632,6.52667510366342,0.0120972154610105,0.142750596658711
"ACTR6",3.44069780423837,0.31377177492498,12.010043198402,0.0158395267517804,0.743138424821002
"ACTR8",4.34397303872228,0.492117146552332,9.88825082590211,0.0159643355303128,0.830847255369928
"ACVR1",0.710485579222303,0.209774534170915,17.3724938800737,0.0228028315958688,0.902595465393795
"ACYP1",1.05415125983471,0.142329747043946,17.0898597516367,0.0192396366826024,0.796688544152745
"ACYP2",2.48042489484055,0.303807782266228,13.2772552409237,0.0178013164909804,0.801014319809069
"ADA",0.413292385337177,0.0553304395892327,19.4560345969902,0.0203145947486563,0.803400954653938
"ADAM10",1.99547300403807,0.121583875366621,13.7238406839646,0.0103643734724813,0.593526252983294
"ADAM15",0.467904639371297,0.048530172154484,19.0403747209149,0.0187410559499393,0.771330548926014
"ADAM17",1.4480701608909,0.146176207359202,15.9146854859527,0.0167338328674673,0.739707637231504
"ADAM9",0.663241763080095,0.0907905690994302,18.5705399598477,0.0200739892670349,0.80519093078759
"ADAR",2.07789160214008,0.08072384441808,11.8391955472319,0.00286175238138096,0.440184964200477
"ADAT1",1.71502745730378,0.477254999710671,11.3890451177843,0.0186607449472704,0.925865155131265
"ADCK2",1.70427100552793,0.439960038856117,12.0854449178654,0.0191244819081634,0.915423627684964
"ADCK5",0.99776004143868,0.364748546118369,14.0878300775569,0.0210703555346523,0.931831742243437
"ADD1",2.91857630447689,0.213004551409268,12.7536281658173,0.0134255697213358,0.661247016706444
"ADD3",0.806519799560307,0.0734973748284027,17.3796831704518,0.016018794529516,0.718078758949881
"ADGRE5",0.311610399598289,0.0149311299038212,17.9024011365309,0.0131599572396083,0.661396181384248
"ADGRG1",0.170543494606514,0.0168979410232694,20.683847182177,0.021251011759695,0.815035799522673
